Mineral,Name,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,NiO,Na2O,K2O,Total,Date,dataset
sp,LB12-111,0.07,0,42.09,0.11,27.22,18.86,0.05,0.13,10.47,0.22,0,0.01,99.25,2012-02-17 3:10,train
sp,LB12-118,0.03,0,39.66,0.13,30.68,18.4,0,0.11,10.98,0.14,0,0,100.15,2012-02-17 3:37,train
sp,LB16-1,0.03,0.01,24.39,0.17,46.64,13.92,0,0.2,14.27,0.05,0.01,0,99.67,2012-02-17 17:13,test
sp,LB16-2,0.03,0.02,25.08,0.17,46.56,14.11,0,0.22,13.97,0.06,0,0.01,100.24,2012-02-17 17:17,train
sp,LB16-4,1.3,0.01,27.18,0.16,41.94,15.21,0.01,0.17,13.25,0.1,0,0.01,99.35,2012-02-17 17:25,train
sp,LB16-15,0.47,0,25.97,0.16,43.6,16.11,0,0.15,13.17,0.07,0.01,0,99.71,2012-02-17 18:07,train
sp,LB16-25,0.03,0.01,26.04,0.16,45.04,14.17,0,0.19,14.22,0.04,0.01,0,99.92,2012-02-17 18:45,test
sp,LB16-27,0.03,0,25.54,0.2,45.34,13.99,0,0.18,14.29,0.06,0,0,99.63,2012-02-17 18:52,train
sp,LB16-28,0.02,0,26.41,0.18,44.69,13.84,0.01,0.17,14.55,0.09,0.01,0.01,99.97,2012-02-17 18:56,train
sp,LB16-47,0.05,0,26.09,0.16,44.46,13.95,0.05,0.19,13.94,0.08,0.01,0.01,98.98,2012-02-17 20:10,test
sp,LB16-58,0.02,0.02,25,0.18,46.12,14.31,0.01,0.18,13.64,0.07,0.01,0,99.56,2012-02-17 20:54,train
sp,LB16-61,0.05,0.01,25.16,0.17,45.91,14.48,0,0.18,13.73,0.06,0,0,99.75,2012-02-17 21:05,train
sp,LB16-103,0.07,0,24.66,0.18,46.04,14.24,0.01,0.18,13.66,0.06,0.01,0.01,99.12,2012-02-17 23:50,test
sp,LB16-107,0.04,0,25.42,0.15,45.77,14.12,0,0.19,13.79,0.07,0.01,0,99.57,2012-02-18 0:06,train
sp,LB16-108,1.68,0.02,23.31,0.17,43.32,14.42,0,0.2,15.29,0.16,0,0.13,98.68,2012-02-18 0:09,train
sp,LB3-4,0.08,0,40.11,0.13,28.78,17.01,0.17,0.15,12.37,0.15,0,0.01,98.96,2012-02-18 1:48,test
sp,LB3-7,0.05,0,40.63,0.14,29.06,17.26,0.02,0.16,12.41,0.19,0.01,0,99.94,2012-02-18 2:00,train
sp,LB3-9,0.19,0.13,33.87,0.17,35.42,17.84,0.14,0.13,11.33,0.2,0.01,0.01,99.43,2012-02-18 2:08,train
sp,LB3-17,0.04,0,40.18,0.17,29.02,17.32,0,0.15,12.37,0.16,0.01,0.01,99.42,2012-02-18 2:39,train
sp,LB3-19,0.04,0,40.54,0.15,28.79,17.21,0,0.15,12.54,0.16,0.01,0,99.59,2012-02-18 2:47,test
sp,LB3-20,0.02,0.01,40.42,0.15,28.87,17.29,0.01,0.15,12.55,0.18,0,0,99.65,2012-02-18 2:51,train
sp,LB3-23,0.04,0.01,39.77,0.15,29.53,17.6,0.01,0.13,11.97,0.16,0,0,99.38,2012-02-18 3:03,train
sp,LB3-44,0.03,0,39.02,0.16,30.28,17.07,0.01,0.15,12.62,0.18,0.02,0.01,99.54,2012-02-18 4:25,test
sp,LB3-45,0.06,0.22,33.08,0.13,34.54,17.96,0.05,0.17,13.19,0.2,0,0.01,99.6,2012-02-18 4:29,train
sp,LB3-50,3.05,0.33,27.32,0.29,34.4,19.07,0.04,0.27,13.98,0.19,0.01,1.09,100.03,2012-02-18 4:49,train
sp,LB3-52,1.02,0.01,37.35,0.14,29.34,19.11,0.14,0.14,11.31,0.19,0.01,0.02,98.76,2012-02-18 4:57,test
sp,LB3-62,0.26,0.43,31.58,0.2,35.93,17.74,0.48,0.16,11.91,0.18,0.04,0.08,98.98,2012-02-18 5:37,train
sp,LB3-74,0.05,0,39.45,0.16,29.83,16.89,0.02,0.13,12.48,0.15,0.01,0,99.16,2012-02-18 6:24,train
sp,LB3-80,0.06,0,39.93,0.16,29.64,17.27,0,0.16,12.47,0.18,0,0,99.88,2012-02-18 6:48,test
sp,LB10-6,0.02,0.01,34.37,0.12,36.31,15.77,0,0.17,12.51,0.09,0,0.01,99.38,2012-02-18 8:12,train
sp,LB10-8,0.06,0.03,36.32,0.1,33.06,19.12,0,0.18,10.81,0.09,0.01,0.02,99.8,2012-02-18 8:19,train
sp,LB10-19,0.04,0,35.47,0.1,34.5,17.93,0,0.14,10.77,0.08,0,0.01,99.05,2012-02-18 9:03,train
sp,LB10-32,0.05,0.01,33.9,0.11,35.5,17.18,0,0.16,11.76,0.11,0.01,0,98.79,2012-02-18 9:56,test
sp,LB14-2,0.01,0,30.35,0.17,40.14,14.7,0,0.18,13.77,0.05,0.01,0.01,99.4,2012-02-18 10:08,train
sp,LB14-4,0.05,0.02,30.06,0.15,40.03,14.95,0,0.18,13.78,0.06,0.01,0.01,99.29,2012-02-18 10:16,train
sp,LB14-8,0.02,0.02,29.74,0.16,40.37,14.96,0,0.18,13.81,0.06,0,0,99.32,2012-02-18 10:32,test
sp,LB13-48,0.02,0.02,36.43,0.14,32.12,16.77,0.01,0.17,12.86,0.12,0.01,0,98.67,2012-02-22 1:30,train
sp,LB11-13,0.04,0,33.17,0.11,36.85,15.53,0,0.17,13.09,0.08,0,0.01,99.04,2012-03-02 17:49,train
sp,LB11-32,0.03,0,34.1,0.1,35.8,16.1,0.01,0.18,12.74,0.08,0,0,99.14,2012-03-02 19:00,test
sp,LB11-33,0.02,0,34.48,0.12,35.72,16.03,0,0.18,12.69,0.1,0,0,99.33,2012-03-02 19:04,train
sp,LB13-19,0.05,0.01,35.18,0.16,33.34,17.67,0.06,0.12,11.76,0.13,0,0.02,98.51,2012-03-02 21:00,train
sp,LB13-25,0.02,0.01,35.68,0.17,33.42,17.02,0.01,0.14,12.13,0.13,0,0,98.76,2012-03-02 21:23,train
sp,LB7-61,0.03,0.06,21.31,0.19,48.43,14.43,0.02,0.2,14.65,0.11,0.01,0,99.43,2012-03-02 22:39,test
sp,LB7-65,0.07,0.03,21.58,0.21,47.3,13.45,0.1,0.22,16.01,0.11,0,0.02,99.08,2012-03-02 22:54,train
sp,LB7-70,0.05,0.06,21.25,0.18,47.86,13.61,0.06,0.21,15.65,0.1,0.01,0.01,99.05,2012-03-02 23:13,train
