Mineral,Name,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,NiO,Na2O,K2O,Total,Date,dataset
cpx,LB11-17,54.57,0,1.54,0.03,0.58,17.53,23.58,0.06,1.22,0.03,0.75,0,99.89,2012-02-21 18:58,train
cpx,LB3-25,53.08,0,2.08,0.03,0.53,17.55,23.38,0.07,1.46,0.05,0.77,0.01,99.01,2012-02-18 3:11,test
cpx,LB15-47,54.78,0,1.68,0.02,0.89,17.55,23.78,0.06,1.22,0.03,0.71,0,100.71,2012-02-17 7:53,train
cpx,LB15-5,54.28,0.01,1.63,0.02,0.74,17.56,23.82,0.06,1.2,0.04,0.67,0.01,100.05,2012-02-17 5:10,train
cpx,LB3-34,53.2,0,1.93,0.01,0.62,17.57,23.55,0.08,1.52,0.05,0.71,0,99.25,2012-02-18 3:46,test
cpx,LB3-13,53.09,0.01,1.96,0.02,0.6,17.57,23.23,0.05,1.42,0.03,0.73,0,98.71,2012-02-18 2:24,train
cpx,LB10-57,54.59,0.02,2.11,0.02,0.79,17.58,22.89,0.05,1.46,0.02,0.82,0.01,100.36,2012-02-21 16:56,train
cpx,LB12-96,53.85,0.02,1.8,0.01,0.67,17.59,24.14,0.08,1.22,0.03,0.49,0,99.9,2012-02-17 2:12,test
cpx,LB5-1-31,53.72,0.01,1.11,0,0.49,17.6,24.2,0.05,1.33,0.03,0.32,0,98.86,2011-10-29,train
cpx,LB5-1-33,53.6,-0.01,1.15,0.01,0.52,17.6,24.15,0.06,1.42,0.05,0.33,0.01,98.88,2011-10-29,train
cpx,LB3-48,53.1,0.01,2,0.03,0.62,17.6,23.39,0.08,1.53,0.08,0.73,0,99.16,2012-02-18 4:41,test
cpx,LB12-24,54.18,0,1.87,0.01,0.68,17.6,23.95,0.06,1.29,0.04,0.54,0,100.22,2012-02-16 21:35,train
cpx,LB3-60,53.23,0.01,1.93,0.01,0.58,17.6,23.44,0.07,1.48,0.02,0.68,0,99.06,2012-02-18 5:29,train
cpx,LB3-24,53.27,0,2.04,0,0.68,17.62,23.33,0.06,1.56,0.03,0.74,0,99.34,2012-02-18 3:07,test
cpx,LB12-52,54.17,0,1.4,0.01,0.61,17.62,24.23,0.06,1.24,0.03,0.43,0,99.79,2012-02-16 23:22,train
cpx,LB3-12,53.65,0,2.02,0.03,0.53,17.62,23.41,0.09,1.53,0.06,0.72,0.01,99.67,2012-02-18 2:20,train
cpx,LB5-1-28,53.98,0.02,1.05,0,0.26,17.64,24.28,0.07,1.32,0.05,0.31,0,98.98,2011-10-29,train
cpx,P4-18-2,55.44,0.02,1.93,1.44,0.05,17.64,23.79,0.45,0.01,0.72,0.06,0.03,101.57,2012-03-14 0:31,test
cpx,LB12-59,53.43,0.01,1.76,0.02,0.73,17.64,23.78,0.07,1.31,0.05,0.52,0,99.32,2012-02-16 23:50,train
cpx,LB5-2-21,53.14,0.02,1.02,0,0.32,17.65,24.4,0.05,1.32,0.05,0.27,0.01,98.26,2011-10-28,train
cpx,LB15-16,54.25,-0.01,1.59,0.02,0.74,17.65,23.68,0.08,1.33,0.04,0.67,0,100.05,2012-02-17 5:53,train
cpx,LB3-54,53.07,0.01,1.96,0.03,0.59,17.66,23.41,0.08,1.5,0.02,0.7,0,99.02,2012-02-18 5:05,train
cpx,LB16-106,53.3,0,1.27,0.02,1.51,17.67,23.56,0.07,1.47,0.04,0.5,0.01,99.43,2012-02-18 0:02,train
cpx,LB3-1,53.41,0,1.94,0.02,0.51,17.67,23.3,0.06,1.44,0.03,0.74,0,99.13,2012-02-18 1:36,train
cpx,LB5-1-44,54.33,-0.02,1.04,0.02,0.3,17.68,24.5,0.06,1.34,0.04,0.29,0.01,99.6,2011-10-29,test
cpx,LB12-104,54.11,0.01,1.59,0.03,0.59,17.68,24.24,0.05,1.22,0.03,0.46,0.01,100.03,2012-02-17 2:43,train
cpx,LB12-31,54.1,0,1.83,0.01,0.59,17.69,23.94,0.07,1.25,0.05,0.48,0,100.01,2012-02-16 22:02,train
cpx,LB16-44,54.1,0,1.39,0.02,0.81,17.7,23.99,0.05,1.19,0.05,0.48,0,99.77,2012-02-17 19:59,test
cpx,LB3-2,53.13,0,1.76,0.03,0.49,17.7,23.69,0.08,1.41,0.05,0.63,0,98.98,2012-02-18 1:40,train
cpx,P1-9,55.69,0,1.96,1.52,0.06,17.72,23.56,0.66,0,0.56,0.05,0.03,101.82,2012-03-14 8:29,train
cpx,LB5-1-27,53.79,0.01,0.98,0.02,0.22,17.72,24.34,0.06,1.31,0.04,0.27,0,98.76,2011-10-29,test
cpx,LB5-2-5,52.95,0,1.18,0.01,0.54,17.73,24.31,0.06,1.32,0.06,0.34,0.01,98.5,2011-10-28,train
cpx,LB3-8,53.78,0,1.97,0,0.59,17.74,23.51,0.07,1.4,0.02,0.72,0,99.79,2012-02-18 2:04,train
cpx,LB5-1-26,53.91,0.01,0.97,0.01,0.22,17.74,24.26,0.06,1.31,0.03,0.27,0.01,98.81,2011-10-29,test
cpx,LB3-57,53,0,1.82,0.03,0.5,17.75,23.46,0.07,1.42,0.03,0.71,0,98.78,2012-02-18 5:17,test
cpx,P4-10-2,54.72,0,1.95,1.51,0.08,17.76,23.47,0.65,0.01,0.62,0.03,0.03,100.84,2012-03-13 22:19,train
cpx,LB5-1-17,52.93,0.01,1.22,0.01,0.47,17.77,23.33,0.06,1.66,0.06,0.32,0.02,97.88,2011-10-28,train
cpx,LB5-1-34,53.84,-0.01,0.99,0.01,0.26,17.77,24.41,0.05,1.42,0.02,0.26,0,99.05,2011-10-29,test
cpx,LB15-52,54.71,0.02,1.4,0.01,0.68,17.77,23.8,0.05,1.36,0.05,0.61,0.01,100.48,2012-02-17 8:13,train
cpx,LB12-32,53.68,0.02,1.65,0.02,0.62,17.77,24.05,0.06,1.36,0.05,0.51,0,99.79,2012-02-16 22:06,train
cpx,LB5-1-6,53.76,0.03,1.04,0,0.58,17.81,24.27,0.06,1.5,0.06,0.31,0.02,99.43,2011-10-28,test
cpx,LB15-30,54.3,0.01,1.53,0.01,0.73,17.81,23.82,0.07,1.28,0.03,0.66,0.01,100.26,2012-02-17 6:47,train
cpx,LB5-2-28,53.23,0.01,1.04,0.01,0.28,17.82,24.39,0.08,1.3,0.03,0.27,0.01,98.47,2011-10-28,train
cpx,LB15-25,54.2,0.01,1.89,0.02,0.88,17.83,23.23,0.07,1.67,0.02,0.59,0.01,100.41,2012-02-17 6:28,test
cpx,LB13-29,53.36,0.02,1.04,0,0.3,17.85,24.24,0.08,1.36,0.04,0.3,0,98.58,2012-03-02 21:38,train
cpx,LB13-10,53.51,0.01,1.06,0.03,0.31,17.85,24.22,0.07,1.33,0.03,0.28,0,98.69,2012-03-02 20:26,train
cpx,LB15-45,54.72,0.03,1.43,0,0.66,17.85,23.69,0.06,1.41,0.04,0.58,0,100.48,2012-02-17 7:46,train
cpx,LB16-17,54.45,0,1.11,0.02,0.65,17.85,24,0.08,1.24,0.03,0.52,0,99.96,2012-02-17 18:14,test
cpx,LB16-68,53.59,0.01,1.24,0.02,0.66,17.87,23.94,0.04,1.36,0.04,0.48,0,99.25,2012-02-17 21:33,train
cpx,LB16-110,54.25,0,1.21,0.01,0.87,17.87,23.92,0.07,1.4,0.02,0.49,0,100.1,2012-02-18 0:17,train
cpx,LB5-2-11,53.91,-0.01,1.07,0.03,0.33,17.9,24.14,0.05,1.41,0.03,0.29,0,99.16,2011-10-28,train
cpx,LB5-1-15,53.48,0,1.01,0.01,0.22,17.91,24.02,0.08,1.54,0.06,0.29,0.02,98.65,2011-10-28,train
cpx,P4-14-2,55.15,0.01,2.01,1.32,0.06,17.91,23.69,0.47,0,0.75,0.02,0.02,101.43,2012-03-13 23:29,train
cpx,LB5-1-3,53.91,0.01,1.12,0.03,0.5,17.92,24.27,0.05,1.37,0.06,0.29,0.01,99.54,2011-10-28,test
